Model,R2 Score,MAE,MSE,RMSE
Random Forest Regressor,0.9287764193765469,1365.5771428571427,4258213.237651429,2063.5438540654836
Linear Regression,0.3934807398457655,4546.4084867736765,36261703.21502853,6021.769110072931
